Event_ID,Event,Day,Date,Course_ID,Instructor,Course_Name,Duration_Days,Room,Conflict,Configured
EV005,Orlando,3,6/17/2026,1692D,Lisa DiTullio,"Project TLC:  Teamwork, Leadership, Communications",2,1,,Yes
EV005,Orlando,3,6/17/2026,1813D,Bob Maiale,Plan and Control: Project Management Foundations,3,1,,Yes
EV005,Orlando,3,6/17/2026,2033D,Chris Leonard,NEW! Leading AI-enabled Product Development,3,1,,Yes
EV005,Orlando,3,6/17/2026,2084D,Traci Duez,Leadership Discovery of your Value and Reputation,4,1,,Yes
EV005,Orlando,3,6/17/2026,1464D,Jack Duggal,Next-Gen PMO: Build for Uncertainty,4,1,,Yes
EV005,Orlando,3,6/17/2026,NEW2,Ori Schibi,Stakeholder Analysis for a Meaningful Engagement ,2,1,,Yes
EV005,Orlando,4,6/18/2026,0024D,"Joyce Brown, Thomas McCabe",A Non-Bootcamp Review of the PMBOK® Guide for Real-World Practitioners,4,1,,Yes
EV005,Orlando,4,6/18/2026,0082D,"Lisa Hammer, David Newman",Agile Fundamentals: Delivering Value,2,1,,Yes
EV005,Orlando,4,6/18/2026,0402D,Jeff Panning,How to Capture Customer Requirements and Develop Project Scope,2,1,,Yes
EV005,Orlando,4,6/18/2026,0643D,Thomas Jarocki,"Orchestrate Total Success: People, Projects, Change",3,1,,Yes
EV005,Orlando,4,6/18/2026,0694D,Michel Thiry,Program Management Master Class,4,1,,Yes
EV005,Orlando,4,6/18/2026,0872D,Drew Clark,Drive Digital Transformation at Scale,2,1,,Yes
EV005,Orlando,4,6/18/2026,1042D,Teresa Lawrence,PM Tools & Techniques: Facilitate Creative Solutions,2,1,,Yes
EV005,Orlando,4,6/18/2026,1552D,Oscar Wasilik,Artificial Intelligence Applied Skills: Unlocking Project Automation and Efficiency Gains,2,1,,Yes
EV005,Orlando,4,6/18/2026,1692D,Lisa DiTullio,"Project TLC:  Teamwork, Leadership, Communications",2,1,,Yes
EV005,Orlando,4,6/18/2026,1821D,Bob Maiale,Project Risk Mastery: Anticipate and Respond,1,1,,Yes
EV005,Orlando,4,6/18/2026,2084D,Traci Duez,Leadership Discovery of your Value and Reputation,4,1,,Yes
EV005,Orlando,4,6/18/2026,1464D,Jack Duggal,Next-Gen PMO: Build for Uncertainty,4,1,,Yes
EV005,Orlando,4,6/18/2026,NEW2,Ori Schibi,Stakeholder Analysis for a Meaningful Engagement ,2,1,,Yes
EV006,Virtual-Jul,1,7/20/2026,0032D,"Lisa Hammer, David Newman","Adapt, Adopt, and Accomplish for Project Management Success",2,1,,Yes
EV006,Virtual-Jul,1,7/20/2026,0182D,Klaus Nielsen,Business Case—Best Practices for Success,2,1,,Yes
EV006,Virtual-Jul,1,7/20/2026,0372D,NK Shrivastava,Hybrid Agility: Blend Traditional and Adaptive Methods,2,1,,Yes
EV006,Virtual-Jul,1,7/20/2026,0482D,Greg Githens,Leading Strategic Initiatives (Program Management),2,1,,Yes
EV006,Virtual-Jul,1,7/20/2026,0582D,Scott Burd,Measure What Matters: Track Benefits Realization,2,1,,Yes
EV006,Virtual-Jul,1,7/20/2026,1074H,Kathy Mendias,  Communication GPS: Keep Your Project on Track,0.5,1,,Yes
EV006,Virtual-Jul,1,7/20/2026,1414H,Teresa Lawrence,Cognitive Diversity: Leverage Your Thinking Style,0.5,1,,Yes
EV006,Virtual-Jul,1,7/20/2026,1802D,Klaus Boedker,Leading with AI for Project Managers,2,1,,Yes
EV006,Virtual-Jul,1,7/20/2026,2033D,Chris Leonard,NEW! Leading AI-enabled Product Development,3,1,,Yes
EV006,Virtual-Jul,2,7/21/2026,0032D,"Lisa Hammer, David Newman","Adapt, Adopt, and Accomplish for Project Management Success",2,1,,Yes
EV006,Virtual-Jul,2,7/21/2026,0182D,Klaus Nielsen,Business Case—Best Practices for Success,2,1,,Yes
EV006,Virtual-Jul,2,7/21/2026,0372D,NK Shrivastava,Hybrid Agility: Blend Traditional and Adaptive Methods,2,1,,Yes
EV006,Virtual-Jul,2,7/21/2026,0482D,Greg Githens,Leading Strategic Initiatives (Program Management),2,1,,Yes
EV006,Virtual-Jul,2,7/21/2026,0582D,Scott Burd,Measure What Matters: Track Benefits Realization,2,1,,Yes
EV006,Virtual-Jul,2,7/21/2026,0742D,April Callis-Birchmeier,Change Acceleration: Simplify and Succeed,2,1,,Yes
EV006,Virtual-Jul,2,7/21/2026,1042D,Teresa Lawrence,PM Tools & Techniques: Facilitate Creative Solutions,2,1,,Yes
EV006,Virtual-Jul,2,7/21/2026,1802D,Klaus Boedker,Leading with AI for Project Managers,2,1,,Yes
EV006,Virtual-Jul,2,7/21/2026,2033D,Chris Leonard,NEW! Leading AI-enabled Product Development,3,1,,Yes
EV006,Virtual-Jul,3,7/22/2026,0082D,"Lisa Hammer, David Newman",Agile Fundamentals: Delivering Value,2,1,,Yes
EV006,Virtual-Jul,3,7/22/2026,0102D,Mohamed Khalifa,Aligning the Organization Through Portfolio Management,2,1,YES - Instructor Unavailable,Yes
EV006,Virtual-Jul,3,7/22/2026,0402D,Jeff Panning,How to Capture Customer Requirements and Develop Project Scope,2,1,,Yes
EV006,Virtual-Jul,3,7/22/2026,0742D,April Callis-Birchmeier,Change Acceleration: Simplify and Succeed,2,1,,Yes
EV006,Virtual-Jul,3,7/22/2026,1042D,Teresa Lawrence,PM Tools & Techniques: Facilitate Creative Solutions,2,1,,Yes
EV006,Virtual-Jul,3,7/22/2026,1211D,Klaus Nielsen,Master the Principles: Accelerate Project Success,1,1,,Yes
EV006,Virtual-Jul,3,7/22/2026,1251D,Subash Racoojmar,Psychological Safety at Work,1,1,,Yes
